round,set,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,note,design
1,12,c,1,12,110,800,1,20240315,d,0.592,4.614,0.84,0.151,reject,reject,"Minor Shotgun, Low Success Rate",static
1,12,c,1,12,110,800,1,20240315,e,2.407,10.569,0.83,0.272,accept,reject,"Minor Shotgun, Low Success Rate",static
1,12,c,1,12,110,800,1,20240315,f,0.466,3.943,0.84,0.139,reject,reject,"Minor Shotgun, Low Success Rate",static
1,13,a,1,16,130,1500,2,20240207,a,7.179,19.993,0.82,0.438,accept,reject,"Low Success Rate, Use Lower",static
1,13,a,1,16,130,1500,2,20240207,b,7.197,19.5,0.82,0.45,accept,reject,"Low Success Rate, Use Lower",static
1,13,a,1,16,130,1500,2,20240207,c,5.628,17.462,0.82,0.393,accept,reject,"Low Success Rate, Use Lower",static
1,13,a,1,16,130,1500,2,20240207,d,1.791,14.589,0.43,0.286,reject,reject,"Low Success Rate, Use Lower",static
1,13,a,1,16,130,1500,2,20240207,e,6.285,19.688,0.71,0.45,reject,reject,"Low Success Rate, Use Lower",static
1,13,a,1,16,130,1500,2,20240207,f,3.219,14.22,0.73,0.31,reject,reject,"Low Success Rate, Use Lower",static
1,13,b,1,16,130,1500,2,20240220,a,0.095,0.882,0.82,0.13,accept,accept,"Low Success Rate, Use Lower",static
1,13,b,1,16,130,1500,2,20240220,b,0,0,0.804,0.811,reject,accept,"Low Success Rate, Use Lower",static
1,13,b,1,16,130,1500,2,20240220,c,0.353,2.538,0.8,0.172,accept,accept,"Low Success Rate, Use Lower",static
1,13,b,1,16,130,1500,2,20240220,d,0,0,0.94,0.557,reject,accept,"Low Success Rate, Use Lower",static
1,13,b,1,16,130,1500,2,20240220,e,0,0.001,0.94,-0.011,reject,accept,"Low Success Rate, Use Lower",static
1,13,b,1,16,130,1500,2,20240220,f,0.367,2.412,0.8,0.188,accept,accept,"Low Success Rate, Use Lower",static
1,13,c,1,16,130,1500,2,20240328,a,0.062,0.407,0.94,0.159,reject,reject,Failure Mode (S),static
1,13,c,1,16,130,1500,2,20240328,b,0.098,0.593,0.88,0.185,reject,reject,Failure Mode (S),static
1,13,c,1,16,130,1500,2,20240328,c,0.175,0.955,0.84,0.216,reject,reject,Failure Mode (S),static
1,13,c,1,16,130,1500,2,20240328,d,0.343,1.792,0.81,0.234,reject,reject,Failure Mode (S),static
1,13,c,1,16,130,1500,2,20240328,e,0.074,0.465,0.91,0.174,reject,reject,Failure Mode (S),static
1,13,c,1,16,130,1500,2,20240328,f,0.1,0.593,0.87,0.191,reject,reject,Failure Mode (S),static
1,14,a,1,20,55,2500,5,20240207,a,0.116,0.971,0.92,0.13,accept,reject,Failure Mode (S),static
