round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
1,16,na,C,1.2,8,110,1500,5,20220208,D,4.34,8.2,0.8,0.628,ACCEPT,REJECT,,,sdoe
2,54,na,A,0.672,10.5,58.3,1780,3.59,20240716,f,4.329,20.195,0.46,0.459,reject,accept,,,sobol32
1,11,na,D,1,8,90,6000,0.5,20220308,D,4.32,804,0.8,0.643,ACCEPT,REJECT,,,sdoe
1,23,na,A,1.5,16,70,800,5,20210928,B,4.31,10.8,0.76,0.505,ACCEPT,REJECT,,,sdoe
1,21,na,C,1.5,8,130,4500,1,20220215,F,4.3,8.32,0.77,0.654,ACCEPT,ACCEPT,,,sdoe
1,23,na,D,1.5,16,70,800,5,20220517,E,4.29,10.8,0.77,0.489,ACCEPT,REJECT,,,sdoe
1,14,na,A,1,20,55,2500,5,20210915,F,4.22,6.88,0.83,0.702,REJECT,REJECT,,,sdoe
1,25,na,B,1.5,22,110,2500,0.5,20211116,C,4.18,11.5,0.79,0.44,ACCEPT,REJECT,,,sdoe
1,7,na,D,0.8,12,90,4500,5,20220222,B,4.1,7.69,0.8,6.53,ACCEPT,REJECT,,,sdoe
1,12,na,B,1,12,110,800,1,20211005,B,4.05,7.09,0.77,0.705,REJECT,ACCEPT,,,sdoe
1,5,na,D,0.5,22,130,6000,5,20220222,C,4.03,20,0.22,0.896,REJECT,REJECT,,,sdoe
2,50,na,A,0.484,8.5,90.2,5160,4.22,20240710,a,4.015,7.285,0.78,0.69,accept,accept,,,sobol32
1,7,na,D,0.8,12,90,4500,5,20220222,E,3.94,7.39,0.79,0.661,ACCEPT,REJECT,,,sdoe
2,55,na,A,1.42,18.5,101,4480,1.09,20240716,f,3.851,20.446,0.41,0.452,reject,accept,,,sobol32
2,26,na,D,0.25,6,45,600,0,20240703,a,3.841,13.888,0.57,0.474,reject,accept,,,sobol32
1,20,na,D,1.2,22,90,800,2,20220517,C,3.84,10.3,0.76,0.467,ACCEPT,REJECT,,,sdoe
2,54,na,A,0.672,10.5,58.3,1780,3.59,20240716,d,3.823,19.218,0.48,0.408,reject,accept,,,sobol32
1,23,na,A,1.5,16,70,800,5,20210928,F,3.81,9.08,0.76,0.53,ACCEPT,REJECT,,,sdoe
1,21,na,D,1.5,8,130,4500,1,20220517,D,3.77,9.88,0.69,0.525,REJECT,ACCEPT,,,sdoe
1,23,na,A,1.5,16,70,800,5,20210928,E,3.76,9.46,0.75,0.507,ACCEPT,REJECT,,,sdoe
1,25,na,A,1.5,22,110,2500,0.5,20210929,F,3.68,6.29,0.77,0.723,REJECT,ACCEPT,,,sdoe
1,7,na,D,0.8,12,90,4500,5,20220222,A,3.68,6.95,0.8,0.648,ACCEPT,REJECT,,,sdoe
1,22,na,B,1.5,12,55,6000,2,20211116,C,3.66,6.64,0.78,0.677,ACCEPT,REJECT,,,sdoe
1,20,na,D,1.2,22,90,800,2,20220517,A,3.66,10.5,0.78,0.424,ACCEPT,REJECT,,,sdoe
1,22,na,B,1.5,12,55,6000,2,20211116,F,3.64,6.43,0.78,0.696,ACCEPT,REJECT,,,sdoe
1,7,na,D,0.8,12,90,4500,5,20220222,F,3.63,6.51,0.8,0.683,ACCEPT,REJECT,,,sdoe
1,25,na,B,1.5,22,110,2500,0.5,20211116,B,3.62,10,0.79,0.438,ACCEPT,REJECT,,,sdoe
1,16,na,B,1.2,8,110,1500,5,20211006,F,3.57,6.25,0.78,0.701,REJECT,ACCEPT,,,sdoe
1,22,na,B,1.5,12,55,6000,2,20211116,E,3.57,6.64,0.78,0.661,ACCEPT,REJECT,,,sdoe
1,22,na,B,1.5,12,55,6000,2,20211116,B,3.52,6.63,0.79,0.645,ACCEPT,REJECT,,,sdoe
1,25,na,B,1.5,22,110,2500,0.5,20211116,A,3.51,9.87,0.79,0.431,ACCEPT,REJECT,,,sdoe
1,11,na,D,1,8,90,6000,0.5,20220308,F,3.51,6.42,0.8,0.654,REJECT,REJECT,,,sdoe
1,12,na,A,1,12,110,800,1,20210915,C,3.41,5.88,0.75,0.735,REJECT,ACCEPT,,,sdoe
1,25,na,B,1.5,22,110,2500,0.5,20211116,F,3.35,9.37,0.78,0.44,ACCEPT,REJECT,,,sdoe
1,8,na,D,0.8,16,110,6000,0,20220222,D,3.35,22,0.37,0.403,REJECT,ACCEPT,,,sdoe
